I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-260,-394,-134,327,-63,-265,943,935,882,626,-172,-404
-214,-329,-116,272,-49,-223,902,1055,1019,818,21,-309
-173,-260,-88,217,-42,-175,854,1131,1108,960,186,-224
-126,-184,-59,155,-33,-122,796,1160,1146,1046,315,-150
-83,-112,-29,98,-27,-71,727,1155,1150,1091,413,-90
-46,-39,6,42,-25,-17,660,1125,1128,1099,481,-27
-14,21,34,-3,-24,27,586,1068,1072,1071,518,15
3,70,66,-36,-31,67,517,1002,1006,1028,541,52
20,114,93,-67,-36,103,458,922,928,961,536,84
33,149,116,-91,-41,132,402,840,847,887,523,105
45,183,137,-114,-45,159,356,766,776,819,507,128
65,213,147,-139,-41,180,306,689,702,750,487,137
68,227,159,-148,-45,193,262,618,638,688,467,146
68,234,166,-151,-48,199,220,540,570,615,433,152
64,228,163,-146,-49,195,179,473,506,553,406,147
54,214,159,-134,-52,186,150,416,449,495,378,147
51,197,145,-124,-47,171,118,356,386,432,341,133
41,175,133,-108,-45,153,92,309,330,379,306,119
34,155,120,-94,-42,137,67,255,271,317,262,105
25,131,105,-78,-40,117,37,203,213,261,222,84
14,114,99,-64,-42,106,16,159,169,211,186,78
10,102,91,-56,-40,96,-9,112,124,161,148,67
6,91,84,-48,-39,87,-27,81,97,130,128,61
10,86,75,-48,-32,80,-42,49,71,98,106,57
12,77,65,-44,-26,71,-54,31,54,80,92,52
9,71,61,-40,-25,65,-53,23,48,66,81,59
15,64,48,-39,-16,55,-57,11,33,51,69,53
16,53,36,-35,-10,44,-56,11,26,49,70,49
14,45,30,-29,-8,37,-56,-1,10,31,56,46
5,32,26,-19,-10,29,-60,-14,-8,15,43,37
-4,26,28,-11,-16,26,-60,-24,-19,3,32,38
-6,22,26,-8,-16,24,-71,-40,-36,-14,17,31
-8,18,25,-5,-16,21,-76,-46,-41,-19,14,30
-2,20,21,-9,-11,20,-81,-59,-49,-32,3,31
4,22,17,-13,-6,19,-86,-62,-51,-36,3,29
9,29,19,-19,-5,24,-81,-57,-45,-37,3,37
15,30,14,-23,1,21,-82,-59,-49,-42,0,35
13,24,10,-19,2,17,-77,-51,-47,-36,4,35
12,21,8,-16,2,14,-75,-55,-52,-43,-3,34
7,13,6,-10,1,9,-79,-59,-58,-46,-6,26
0,11,10,-5,-4,10,-77,-61,-60,-49,-10,28
0,10,9,-5,-4,9,-84,-73,-70,-60,-18,22
-2,9,10,-3,-5,9,-87,-75,-72,-60,-17,20
4,13,8,-8,-1,10,-92,-83,-79,-69,-24,19
7,13,5,-10,1,8,-96,-85,-81,-69,-25,17
6,16,9,-11,-1,12,-91,-81,-73,-67,-26,27
9,15,5,-12,2,10,-91,-83,-77,-69,-30,25
5,10,4,-7,1,7,-86,-76,-72,-59,-25,27
3,9,4,-6,0,6,-83,-78,-76,-64,-31,27
-1,3,3,-1,-2,3,-84,-80,-81,-65,-32,21
-2,5,6,-2,-3,5,-81,-80,-79,-66,-33,25
7,11,3,-9,2,6,-88,-87,-86,-71,-38,19
8,12,3,-10,3,7,-90,-86,-85,-68,-35,17
12,15,2,-14,5,8,-96,-96,-92,-76,-42,15
13,14,0,-14,7,7,-100,-99,-93,-77,-44,12
12,16,4,-14,5,9,-95,-99,-87,-79,-47,23
15,17,1,-16,8,8,-96,-102,-90,-82,-51,22
12,14,1,-13,6,7,-92,-93,-85,-72,-43,26
10,13,2,-11,4,7,-89,-95,-88,-75,-46,28
4,5,1,-5,2,2,-90,-96,-91,-73,-43,23
-2,2,3,0,-2,2,-89,-96,-90,-73,-44,25
-2,0,1,1,-1,0,-97,-106,-98,-80,-51,18
-2,-2,-1,2,0,-2,-98,-106,-99,-78,-48,16
6,2,-5,-4,6,-2,-100,-114,-107,-86,-54,14
15,7,-9,-12,13,-1,-102,-116,-109,-85,-52,12
25,19,-7,-22,17,6,-95,-112,-102,-83,-50,22
29,20,-10,-25,20,5,-96,-117,-107,-87,-53,20
19,12,-8,-15,14,2,-93,-112,-104,-82,-48,21
12,6,-7,-9,10,-1,-92,-115,-108,-86,-53,23
1,-6,-8,2,5,-7,-93,-115,-110,-84,-52,18
-8,-11,-3,9,-2,-7,-90,-114,-109,-85,-53,22
-12,-14,-3,13,-4,-9,-96,-123,-119,-93,-59,17
-15,-17,-2,16,-6,-10,-99,-124,-121,-92,-56,15
-10,-14,-5,12,-2,-10,-104,-134,-129,-101,-62,11
-9,-16,-8,13,0,-13,-109,-139,-134,-105,-64,7
-11,-16,-6,13,-2,-11,-106,-141,-132,-111,-70,17
-9,-17,-10,13,1,-14,-108,-146,-137,-119,-77,18
-12,-22,-11,17,0,-17,-101,-139,-131,-115,-73,23
-9,-19,-10,14,1,-15,-97,-138,-131,-118,-76,27
-9,-18,-11,13,1,-15,-96,-132,-130,-113,-71,25
-10,-16,-8,13,0,-13,-92,-128,-126,-111,-69,29
-7,-17,-11,12,2,-14,-98,-134,-133,-118,-72,22
-6,-19,-14,13,4,-17,-99,-134,-133,-117,-69,20
2,-18,-20,8,11,-19,-103,-144,-142,-127,-76,16
8,-15,-23,3,16,-19,-104,-150,-145,-131,-79,15
12,-4,-18,-4,15,-11,-95,-152,-141,-136,-85,30
18,1,-18,-10,19,-9,-95,-156,-144,-140,-85,30
17,2,-16,-10,17,-7,-90,-147,-137,-128,-71,32
16,2,-15,-9,16,-7,-88,-148,-139,-130,-72,34
11,-6,-17,-2,14,-12,-90,-146,-140,-128,-71,29
2,-13,-16,5,10,-15,-88,-146,-140,-129,-71,32
-4,-23,-21,13,9,-23,-94,-154,-149,-137,-77,23
-10,-32,-23,20,7,-28,-97,-154,-151,-136,-75,19
-7,-34,-27,20,11,-31,-104,-165,-162,-148,-84,13
-6,-36,-31,21,13,-34,-108,-170,-168,-153,-88,9
-4,-31,-27,18,12,-30,-103,-172,-165,-160,-95,18
0,-29,-31,14,16,-31,-105,-176,-170,-166,-99,17
0,-31,-31,15,16,-31,-101,-166,-163,-157,-90,21
-2,-33,-32,17,16,-33,-99,-168,-164,-160,-93,25
-9,-43,-35,26,13,-40,-98,-166,-165,-157,-91,25
-13,-46,-34,30,11,-40,-93,-164,-162,-154,-89,29
-11,-48,-37,29,13,-43,-98,-170,-170,-157,-92,19
-11,-51,-40,31,15,-46,-99,-169,-170,-155,-90,16
-5,-50,-46,28,21,-49,-104,-180,-178,-166,-100,11
-4,-53,-50,28,24,-52,-107,-186,-184,-170,-104,6
-5,-52,-48,28,22,-50,-101,-190,-185,-175,-110,12
-5,-55,-50,30,23,-53,-101,-196,-191,-180,-116,9
-13,-61,-49,37,19,-55,-94,-190,-184,-172,-110,13
-10,-58,-48,34,19,-54,-89,-189,-182,-173,-111,17
-7,-55,-49,31,21,-53,-87,-182,-176,-165,-104,17
-10,-57,-48,33,19,-53,-82,-177,-170,-157,-98,20
-12,-66,-54,39,21,-61,-89,-181,-176,-156,-95,8
-21,-77,-57,49,19,-68,-91,-180,-176,-152,-92,4
-25,-87,-63,56,20,-75,-95,-191,-187,-165,-104,-2
-26,-92,-67,59,21,-80,-97,-195,-192,-168,-107,-7
-24,-88,-64,56,21,-76,-90,-195,-189,-171,-112,2
-22,-88,-67,55,23,-78,-89,-198,-190,-175,-116,1
-29,-93,-65,61,19,-79,-80,-190,-180,-166,-109,8
-28,-93,-66,61,19,-80,-73,-187,-176,-165,-109,12
-29,-97,-69,63,20,-83,-68,-178,-168,-153,-99,12
-28,-96,-69,62,20,-83,-61,-170,-160,-146,-93,17
-24,-97,-74,60,26,-86,-63,-172,-162,-145,-92,11
-24,-100,-77,62,27,-89,-61,-166,-158,-138,-85,8
-20,-101,-82,60,32,-92,-64,-171,-163,-144,-89,2
-21,-106,-86,63,33,-96,-66,-171,-164,-144,-88,-4
-24,-105,-82,64,30,-94,-61,-169,-160,-147,-94,2
-27,-110,-84,69,29,-98,-60,-172,-163,-151,-98,-1
-38,-119,-82,79,22,-101,-52,-163,-154,-143,-93,3
-39,-120,-82,79,22,-102,-47,-160,-150,-142,-94,5
-38,-122,-85,80,24,-104,-44,-150,-143,-131,-85,3
-38,-121,-84,79,23,-103,-38,-141,-135,-124,-81,7
-36,-122,-87,79,26,-105,-40,-141,-136,-123,-81,-2
-37,-125,-88,81,26,-107,-38,-135,-133,-116,-77,-7
-32,-125,-93,78,31,-109,-40,-141,-139,-123,-84,-15
-29,-125,-97,77,34,-111,-41,-141,-140,-123,-84,-21
-25,-118,-94,72,35,-107,-34,-141,-136,-126,-88,-15
-23,-118,-95,70,36,-107,-33,-142,-137,-128,-91,-18
-31,-122,-92,76,31,-107,-25,-131,-127,-117,-81,-15
-34,-122,-88,78,27,-106,-20,-128,-123,-118,-84,-13
-42,-127,-85,84,22,-107,-17,-119,-116,-112,-80,-16
-45,-127,-82,86,19,-105,-11,-112,-109,-108,-77,-12
-41,-127,-87,84,24,-108,-14,-112,-112,-108,-76,-19
-36,-126,-90,81,27,-109,-12,-106,-108,-101,-70,-24
-23,-119,-97,71,37,-108,-16,-112,-114,-108,-76,-33
-22,-122,-101,72,40,-112,-19,-116,-119,-110,-78,-42
-28,-126,-98,77,35,-112,-14,-122,-121,-118,-86,-39
-29,-129,-100,79,36,-115,-15,-129,-127,-127,-95,-45
-34,-131,-98,82,32,-115,-8,-123,-121,-124,-94,-42
-37,-133,-96,85,30,-115,-5,-126,-123,-127,-98,-43
-47,-141,-95,94,24,-119,-4,-121,-121,-120,-92,-49
-56,-147,-92,102,18,-120,0,-121,-121,-120,-94,-49
-62,-155,-94,108,17,-125,-5,-129,-131,-126,-101,-60
-66,-160,-95,113,14,-128,-5,-129,-133,-127,-103,-66
-61,-158,-98,109,19,-129,-8,-141,-145,-142,-115,-76
-56,-156,-100,105,23,-129,-10,-146,-152,-147,-120,-84
-49,-145,-97,97,25,-122,-4,-150,-154,-153,-129,-80
-46,-143,-97,95,26,-121,-5,-157,-161,-161,-138,-84
-55,-146,-91,100,18,-119,2,-152,-157,-157,-137,-78
-57,-144,-88,100,16,-117,4,-156,-159,-164,-144,-77
-61,-146,-86,103,13,-116,4,-152,-157,-161,-140,-82
-64,-146,-83,104,10,-115,7,-151,-156,-162,-141,-81
-63,-149,-87,106,12,-119,2,-156,-165,-166,-145,-91
-67,-154,-87,110,10,-121,-1,-156,-168,-166,-145,-98
-66,-156,-91,111,13,-124,-9,-168,-182,-180,-157,-109
-68,-159,-92,114,12,-126,-13,-175,-189,-187,-164,-116
-71,-157,-87,114,9,-123,-10,-183,-193,-197,-176,-111
-68,-156,-88,112,10,-123,-13,-189,-198,-204,-183,-114
-70,-154,-85,112,8,-120,-9,-179,-189,-198,-178,-109
-64,-146,-83,105,10,-115,-7,-178,-186,-201,-182,-105
-60,-140,-81,100,11,-111,-4,-170,-176,-192,-178,-104
-60,-136,-77,98,9,-107,1,-161,-169,-185,-173,-98
-60,-139,-79,99,9,-109,-4,-158,-171,-179,-166,-106
-67,-144,-78,106,6,-112,-7,-152,-167,-172,-160,-109
-69,-149,-81,109,6,-115,-17,-161,-176,-181,-168,-116
-70,-151,-81,110,6,-116,-23,-162,-177,-183,-171,-120
-67,-143,-76,105,5,-110,-22,-163,-175,-189,-181,-111
-60,-135,-76,97,9,-106,-26,-162,-175,-189,-182,-111
-56,-127,-72,91,9,-100,-21,-146,-160,-174,-168,-102
-55,-124,-69,89,7,-97,-21,-141,-154,-171,-166,-97
-65,-130,-65,98,0,-98,-20,-130,-144,-161,-158,-95
-69,-129,-61,99,-4,-95,-18,-123,-134,-155,-155,-89
-65,-127,-62,96,-1,-95,-25,-123,-133,-151,-153,-94
-64,-125,-61,94,-1,-93,-26,-114,-125,-141,-144,-92
-57,-120,-64,88,4,-93,-32,-116,-128,-141,-144,-95
-53,-117,-65,85,6,-92,-36,-114,-127,-138,-141,-96
-48,-109,-61,78,7,-85,-33,-114,-124,-142,-146,-85
-43,-103,-60,73,9,-82,-36,-115,-124,-142,-145,-84
-44,-96,-53,70,5,-75,-32,-103,-112,-129,-134,-74
-41,-90,-49,65,5,-70,-32,-100,-109,-129,-133,-68
-42,-89,-47,66,3,-69,-31,-90,-100,-119,-125,-66
-39,-82,-44,60,3,-63,-27,-82,-91,-111,-118,-57
-29,-75,-46,52,8,-61,-30,-78,-88,-105,-112,-59
-29,-73,-45,51,8,-59,-31,-70,-81,-94,-101,-58
-25,-72,-48,48,11,-60,-41,-75,-87,-97,-102,-65
-27,-76,-49,51,11,-63,-47,-77,-90,-98,-102,-69
-30,-76,-46,53,8,-62,-46,-83,-92,-107,-112,-61
-26,-73,-47,49,11,-60,-47,-87,-94,-111,-116,-60
-24,-66,-42,45,9,-54,-39,-77,-82,-100,-108,-48
-21,-60,-40,40,10,-51,-36,-75,-78,-99,-107,-42
-23,-62,-39,42,8,-51,-35,-65,-71,-86,-95,-41
-27,-62,-36,44,5,-50,-32,-60,-65,-81,-91,-35
-29,-67,-39,48,5,-53,-38,-63,-69,-81,-90,-40
-31,-69,-38,50,4,-54,-39,-60,-66,-75,-85,-41
-24,-65,-42,45,9,-54,-47,-69,-75,-81,-90,-48
-22,-65,-43,43,11,-55,-52,-72,-80,-82,-89,-53
-20,-61,-41,40,11,-52,-51,-79,-85,-91,-95,-48
-19,-62,-43,40,12,-53,-54,-85,-91,-97,-99,-50
-26,-65,-39,45,7,-53,-50,-81,-85,-92,-96,-42
-27,-64,-38,45,6,-51,-47,-84,-85,-96,-100,-37
-30,-65,-36,47,3,-51,-41,-76,-79,-88,-94,-33
-26,-59,-34,43,4,-47,-34,-70,-74,-82,-88,-26
-17,-54,-38,35,11,-47,-37,-68,-77,-76,-80,-32
-19,-58,-39,38,10,-49,-38,-65,-75,-69,-72,-33
-22,-65,-43,43,11,-54,-46,-76,-86,-79,-78,-42
-25,-69,-45,47,10,-58,-51,-81,-91,-83,-81,-47
-23,-66,-43,44,10,-55,-49,-90,-96,-95,-92,-41
-18,-63,-45,41,14,-55,-52,-96,-101,-102,-96,-43
-17,-59,-42,38,13,-51,-47,-90,-94,-95,-90,-34
-14,-55,-41,35,14,-49,-46,-94,-95,-99,-93,-30
-17,-57,-40,37,11,-49,-44,-90,-89,-94,-87,-28
-20,-57,-37,38,9,-48,-40,-88,-86,-91,-84,-23
-20,-61,-41,40,11,-51,-45,-89,-91,-86,-80,-30
-25,-65,-41,45,8,-53,-46,-84,-90,-80,-75,-32
-25,-68,-44,47,9,-56,-55,-93,-100,-89,-84,-40
-24,-70,-46,47,11,-59,-60,-95,-104,-92,-86,-45
-18,-65,-47,41,15,-56,-60,-103,-107,-103,-96,-41
-14,-63,-49,38,18,-57,-62,-109,-112,-109,-100,-44
-18,-62,-45,40,14,-54,-55,-101,-104,-103,-94,-37
-20,-62,-43,41,12,-53,-53,-103,-105,-108,-97,-34
-28,-68,-41,48,6,-55,-50,-96,-99,-102,-90,-32
-33,-70,-37,51,2,-54,-45,-94,-95,-100,-88,-26
-35,-74,-39,54,2,-57,-49,-94,-98,-99,-85,-31
-34,-72,-39,53,3,-56,-47,-90,-94,-94,-79,-30
-22,-66,-44,44,11,-56,-52,-97,-100,-101,-85,-35
-17,-63,-46,40,15,-55,-53,-96,-101,-99,-82,-39
-12,-56,-44,34,16,-51,-48,-100,-103,-104,-85,-35
-11,-55,-44,33,17,-50,-51,-103,-107,-107,-89,-38
-19,-56,-37,37,9,-47,-46,-96,-99,-102,-88,-30
-19,-54,-35,36,8,-45,-45,-97,-98,-105,-91,-27
-23,-55,-33,38,5,-44,-41,-89,-88,-95,-82,-23
-23,-52,-30,37,4,-41,-37,-85,-82,-91,-78,-18
-20,-52,-32,36,6,-43,-41,-84,-84,-86,-75,-24
-23,-54,-31,39,4,-43,-41,-78,-80,-79,-68,-24
-22,-57,-35,39,7,-47,-47,-84,-87,-85,-71,-31
-23,-60,-37,41,7,-49,-50,-85,-89,-83,-70,-34
-21,-57,-37,39,8,-48,-48,-90,-92,-90,-79,-29
-19,-57,-38,38,10,-48,-50,-94,-95,-93,-82,-30
-23,-57,-34,40,6,-46,-43,-88,-86,-87,-78,-22
-23,-57,-34,40,6,-46,-42,-88,-86,-88,-79,-20
-28,-62,-34,45,3,-49,-39,-77,-77,-76,-69,-19
-30,-61,-31,45,1,-46,-35,-71,-71,-72,-68,-12
-30,-61,-31,45,1,-47,-38,-70,-71,-69,-67,-16
-28,-57,-30,42,1,-44,-35,-62,-63,-60,-60,-13
-15,-49,-35,32,10,-42,-39,-64,-64,-62,-60,-19
-11,-47,-37,29,13,-43,-41,-62,-64,-60,-57,-22
-9,-44,-35,26,13,-40,-39,-69,-67,-68,-64,-19
-6,-42,-37,24,16,-40,-41,-71,-69,-71,-67,-20
-8,-40,-32,24,12,-36,-33,-60,-58,-64,-62,-8
-7,-37,-31,22,12,-35,-31,-60,-56,-64,-63,-5
-10,-39,-30,24,10,-35,-27,-51,-47,-51,-52,-3
-15,-41,-26,28,6,-34,-23,-47,-42,-47,-49,1
-20,-48,-28,33,4,-38,-27,-45,-44,-45,-46,-6
-25,-53,-28,39,1,-41,-26,-39,-39,-39,-41,-7
-22,-56,-33,39,6,-45,-32,-46,-47,-46,-46,-14
-21,-56,-36,38,7,-47,-33,-46,-48,-45,-44,-17
-16,-49,-34,32,9,-42,-30,-52,-49,-53,-50,-12
-5,-38,-34,21,15,-37,-29,-52,-49,-55,-51,-11
6,-21,-27,8,17,-25,-19,-39,-35,-46,-44,1
9,-18,-27,4,19,-23,-17,-36,-33,-44,-42,3
0,-27,-28,13,14,-28,-15,-25,-27,-28,-27,2
-11,-36,-25,23,7,-31,-13,-23,-25,-27,-26,5
-25,-51,-26,37,1,-39,-18,-26,-29,-30,-30,-3
-33,-58,-25,45,-4,-42,-18,-22,-26,-26,-28,-4
-29,-60,-30,44,1,-45,-24,-29,-35,-32,-33,-14
-30,-62,-32,46,1,-48,-26,-30,-37,-32,-32,-19
-29,-59,-31,44,1,-45,-24,-38,-41,-42,-41,-16
-26,-58,-32,42,3,-46,-27,-43,-45,-47,-45,-18
-27,-54,-28,40,1,-42,-23,-37,-36,-42,-42,-7
-24,-50,-26,37,1,-39,-22,-39,-36,-44,-45,-4
-27,-50,-23,38,-2,-37,-17,-30,-28,-34,-36,-2
-27,-45,-19,35,-4,-33,-11,-25,-22,-29,-33,4
-24,-44,-21,34,-1,-33,-13,-21,-21,-23,-27,-1
-25,-44,-20,34,-3,-32,-11,-14,-14,-15,-20,0
-22,-45,-24,33,1,-35,-17,-19,-21,-20,-24,-7
-20,-46,-26,32,3,-37,-20,-19,-22,-17,-22,-12
-13,-41,-28,27,7,-35,-20,-26,-27,-24,-28,-10
-15,-43,-29,29,7,-37,-24,-31,-32,-29,-34,-14
-26,-47,-22,36,-2,-35,-19,-28,-26,-28,-36,-7
-29,-49,-20,38,-4,-35,-18,-31,-28,-33,-40,-4
-34,-53,-19,43,-8,-36,-14,-22,-21,-23,-30,1
-38,-53,-15,45,-11,-35,-10,-19,-16,-21,-28,7
-41,-57,-16,49,-12,-37,-15,-16,-17,-17,-24,1
-42,-57,-15,49,-14,-36,-13,-10,-12,-10,-18,2
-35,-53,-19,44,-8,-37,-20,-14,-19,-14,-22,-5
-32,-52,-20,42,-6,-37,-23,-15,-21,-12,-20,-10
-28,-47,-19,37,-4,-34,-24,-24,-27,-22,-28,-8
-24,-46,-22,35,-1,-35,-27,-29,-32,-26,-33,-12
-25,-45,-20,35,-2,-33,-20,-22,-25,-22,-32,-5
-23,-44,-22,33,0,-33,-19,-24,-25,-26,-37,-3
-25,-46,-22,35,-2,-35,-14,-18,-17,-16,-29,0
-23,-43,-20,32,-1,-32,-8,-15,-12,-14,-28,6
-19,-41,-22,29,2,-32,-8,-12,-11,-9,-24,0
-19,-41,-22,29,2,-32,-6,-5,-6,0,-17,2
-14,-42,-28,28,7,-35,-13,-10,-13,-3,-18,-4
-14,-44,-30,29,8,-38,-16,-11,-16,-2,-17,-10
-11,-42,-31,26,10,-37,-18,-21,-23,-14,-27,-11
-9,-41,-32,25,12,-37,-21,-24,-27,-20,-31,-16
-11,-37,-26,24,8,-32,-14,-17,-19,-16,-30,-7
-10,-35,-25,22,8,-31,-12,-19,-20,-20,-34,-4
-16,-39,-23,27,4,-32,-8,-10,-13,-12,-25,1
-18,-39,-21,28,2,-30,-5,-7,-9,-9,-23,5
-18,-42,-24,30,3,-33,-9,-3,-9,-2,-17,-1
-22,-45,-23,33,1,-34,-8,3,-4,5,-11,-1
-21,-47,-27,34,3,-38,-16,-3,-12,0,-14,-11
-22,-50,-28,36,3,-40,-19,-5,-14,-1,-14,-17
-19,-47,-28,33,4,-38,-21,-16,-21,-14,-24,-17
-16,-45,-29,30,7,-38,-24,-22,-26,-20,-29,-20
-16,-41,-25,28,4,-34,-17,-18,-18,-18,-28,-10
-13,-36,-23,24,5,-30,-16,-21,-19,-21,-31,-6
-15,-33,-18,24,2,-26,-12,-13,-12,-11,-22,-1
-17,-32,-16,24,0,-24,-9,-10,-8,-9,-20,3
-20,-39,-19,29,-1,-29,-12,-8,-9,-3,-13,-4
-25,-42,-17,33,-4,-30,-10,-2,-4,3,-8,-3
-24,-43,-20,33,-2,-32,-17,-9,-12,-3,-14,-11
-26,-47,-21,36,-3,-35,-20,-10,-14,-2,-12,-15
-26,-48,-22,36,-2,-35,-20,-19,-22,-13,-20,-14
-22,-45,-23,33,0,-34,-22,-24,-26,-18,-24,-15
-20,-35,-15,27,-2,-25,-13,-18,-16,-17,-23,-1
-10,-26,-16,18,3,-22,-12,-18,-15,-18,-24,2
-5,-22,-18,13,7,-20,-7,-5,-4,-3,-10,4
-8,-23,-16,15,4,-20,-5,-2,-1,0,-9,8
-19,-36,-17,27,-1,-27,-10,-2,-3,2,-7,2
-28,-42,-14,34,-6,-29,-8,3,1,5,-5,4
-28,-45,-18,36,-5,-32,-15,-4,-7,-1,-12,-4
-28,-48,-20,38,-4,-35,-18,-4,-10,0,-10,-9
-23,-45,-22,34,0,-34,-20,-13,-21,-8,-17,-10
-19,-44,-25,31,3,-35,-24,-17,-25,-12,-22,-14
-19,-39,-20,28,1,-30,-18,-13,-16,-11,-24,-4
-17,-37,-21,27,2,-30,-17,-17,-18,-17,-29,-2
-22,-41,-20,31,-1,-31,-12,-10,-12,-9,-22,2
-18,-36,-18,26,0,-28,-8,-7,-8,-8,-21,9
-10,-31,-21,20,6,-26,-10,-2,-4,-2,-14,7
-9,-29,-20,19,5,-25,-8,5,2,5,-7,9
-9,-32,-24,20,8,-29,-14,0,-5,0,-10,0
-12,-38,-26,25,7,-33,-18,0,-8,2,-8,-7
-13,-41,-28,27,7,-35,-21,-10,-17,-9,-19,-9
-14,-45,-31,29,8,-38,-25,-15,-23,-14,-24,-14
-18,-44,-26,31,4,-36,-21,-11,-17,-15,-26,-5
-20,-46,-26,33,3,-37,-22,-16,-20,-21,-31,-6
-29,-53,-24,40,-2,-39,-18,-9,-15,-14,-23,-4
-34,-56,-22,45,-6,-40,-15,-9,-13,-14,-24,-1
-39,-63,-24,51,-8,-44,-18,-9,-13,-11,-22,-7
-41,-66,-25,53,-8,-46,-16,-4,-8,-5,-18,-7
-34,-67,-33,50,-1,-50,-22,-8,-15,-9,-21,-17
-29,-68,-39,48,5,-54,-26,-7,-16,-7,-19,-22
-20,-65,-45,42,13,-56,-29,-17,-25,-19,-29,-24
-15,-65,-50,40,18,-58,-34,-23,-32,-25,-33,-29
-15,-63,-47,38,16,-55,-29,-20,-27,-26,-35,-21
-14,-63,-49,38,18,-57,-30,-25,-31,-32,-40,-22
-19,-68,-49,43,15,-59,-25,-17,-25,-26,-33,-19
-22,-71,-49,46,13,-60,-22,-17,-24,-27,-34,-16
-26,-78,-52,52,13,-66,-24,-15,-25,-22,-29,-22
-31,-82,-51,56,10,-67,-23,-12,-23,-18,-27,-22
-30,-86,-56,57,13,-71,-31,-20,-32,-26,-34,-32
-30,-89,-60,59,15,-75,-37,-21,-37,-26,-34,-39
-23,-87,-64,55,20,-76,-44,-33,-48,-37,-44,-42
-23,-88,-66,55,21,-78,-50,-39,-55,-44,-48,-48
-28,-87,-59,57,16,-73,-45,-39,-52,-47,-51,-41
-28,-87,-59,57,15,-73,-46,-45,-56,-53,-56,-41
-33,-89,-57,61,12,-74,-42,-39,-49,-45,-50,-38
-33,-88,-55,60,11,-72,-37,-37,-47,-46,-50,-34
-35,-91,-57,62,11,-75,-36,-33,-47,-41,-45,-39
-38,-94,-55,65,9,-75,-30,-28,-42,-36,-42,-38
-38,-98,-60,67,11,-79,-33,-35,-50,-43,-47,-48
-40,-102,-62,71,11,-83,-31,-35,-50,-41,-45,-53
-37,-102,-66,69,14,-84,-29,-44,-56,-50,-53,-55
-36,-104,-68,70,16,-87,-28,-48,-59,-54,-57,-60
-39,-102,-63,70,12,-83,-18,-45,-52,-55,-60,-52
-39,-101,-62,69,12,-82,-14,-47,-54,-59,-64,-52
-44,-102,-58,72,7,-81,-5,-37,-45,-48,-55,-48
-46,-98,-52,72,3,-76,1,-34,-41,-47,-54,-41
-49,-97,-48,73,-1,-73,3,-29,-37,-41,-48,-43
-51,-93,-42,71,-4,-68,9,-20,-29,-32,-41,-38
-45,-88,-44,66,0,-67,7,-21,-31,-31,-41,-45
-46,-90,-44,67,-1,-67,11,-17,-28,-25,-35,-49
-44,-91,-46,67,1,-69,15,-26,-33,-32,-42,-50
-41,-90,-49,65,4,-70,15,-27,-35,-33,-44,-54
-38,-83,-44,60,3,-64,22,-21,-26,-29,-43,-45
-40,-85,-44,62,2,-65,23,-24,-29,-33,-49,-45
-54,-95,-42,74,-6,-69,28,-18,-24,-26,-46,-42
-57,-96,-39,76,-9,-68,31,-17,-22,-27,-48,-38
-58,-97,-39,77,-10,-68,28,-12,-17,-21,-42,-41
-60,-96,-36,78,-12,-67,29,-5,-11,-15,-36,-38
-56,-97,-41,76,-8,-70,21,-9,-17,-17,-37,-45
-58,-98,-40,77,-9,-69,18,-9,-20,-16,-35,-50
-56,-93,-38,74,-9,-66,15,-21,-31,-29,-45,-54
-55,-87,-32,70,-11,-60,13,-28,-37,-35,-50,-57
-56,-74,-19,65,-19,-47,22,-28,-31,-36,-53,-44
-51,-64,-13,57,-19,-39,23,-31,-33,-40,-56,-42
-48,-56,-7,51,-20,-32,28,-22,-23,-30,-47,-38
-48,-50,-2,49,-23,-27,31,-20,-20,-28,-44,-33
-53,-54,-1,53,-26,-28,30,-15,-19,-21,-35,-36
-58,-54,3,55,-30,-26,33,-9,-13,-16,-29,-32
-56,-55,1,55,-28,-28,28,-14,-18,-21,-32,-37
-51,-51,0,50,-25,-26,25,-11,-15,-16,-27,-40
-35,-39,-3,36,-16,-22,21,-16,-19,-21,-31,-42
-33,-38,-6,35,-14,-23,15,-20,-23,-23,-33,-48
-40,-41,-1,40,-20,-21,18,-21,-21,-25,-36,-41
-46,-46,0,45,-23,-23,15,-27,-25,-31,-42,-40
-57,-52,4,54,-31,-24,18,-19,-17,-24,-35,-32
-56,-49,7,52,-31,-22,21,-17,-12,-22,-34,-24
-51,-46,6,48,-28,-20,20,-9,-7,-11,-24,-22
-46,-37,8,41,-27,-15,23,1,3,-1,-13,-13
-34,-28,6,31,-20,-12,16,4,3,3,-8,-13
-31,-26,5,28,-18,-11,12,10,7,10,0,-12
-26,-23,3,24,-14,-10,7,4,2,3,-4,-13
-22,-21,1,21,-11,-11,2,3,0,0,-4,-14
-19,-14,5,16,-12,-5,6,6,6,-3,-6,-1
-13,-9,4,10,-9,-3,5,5,5,-5,-7,1
-12,-5,7,8,-10,0,11,17,15,8,6,6
-11,-1,9,5,-10,3,14,20,18,9,7,11
-13,-4,9,8,-11,2,13,25,22,15,11,10
-14,-3,11,8,-13,4,15,30,28,21,15,13
-8,-2,6,4,-7,2,9,24,23,20,14,4
